Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
titanic,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8009049773755657,0.7231543624161074,0.27684563758389263,0.8073959938366718,0.7558724832214765,0.7847344062408543,7.621624946594238,0.2166146066933196
titanic,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.7963800904977375,0.6910887397464579,0.30891126025354215,0.8681752873563219,0.7582028337061895,0.7948150222559882,1.4401493072509766,0.01804753126601828
titanic,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8009049773755657,0.7231543624161074,0.27684563758389263,0.8073959938366718,0.7115026099925428,0.760080353147955,56.55296492576599,0.01804968890021829
titanic,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.0,0.0,0.0,0.0,0.7222222222222222,0.7745024864614851,34.57912492752075,0.05421918981215533
titanic,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7954545454545454,0.7236506286038378,0.2763493713961622,0.7865794573643411,0.7734190377162302,0.7827904357351239,7.7105934619903564,0.21306384693492542
titanic,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 100}",0.7636363636363637,0.6522355610171093,0.3477644389828906,0.7907564542336162,0.7672747896776633,0.7778096500398298,1.445728063583374,0.022671439430930397
titanic,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7863636363636364,0.7095661215615843,0.2904338784384157,0.7769865067466267,0.7196804991019945,0.7584035329709704,56.11723518371582,0.01360177993774414
titanic,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.0,0.0,0.0,0.0,0.7126855090273183,0.8020879237919852,39.177268266677856,0.054334510456432
titanic,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.75,0.6753473863314113,0.32465261366858866,0.7182352941176471,0.7293222421778995,0.7506636262941292,7.804128170013428,0.22213459014892578
titanic,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.7727272727272727,0.6589469704130826,0.34105302958691747,0.8226827864133563,0.7418943189337367,0.765633177698309,1.522928237915039,0.027199224992231888
