Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
transplant,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,6.75439977645874,2.920729773385184
transplant,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.1000535488128662,0.3561632973807199
transplant,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7857142857142857,0.8333333333333333,0.16666666666666666,0.8125,0.8333333333333333,0.8764880952380952,5.42405366897583,0.1424891608101981
transplant,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,6.53922438621521,0.21401473454066686
transplant,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,6.861761093139648,3.375842021061824
transplant,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.088120698928833,0.4603312565730168
transplant,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9230769230769231,0.9444444444444444,0.05555555555555555,0.9,0.9444444444444444,0.9414529914529914,5.632029294967651,0.23009226872370794
transplant,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",1.0,1.0,0.0,1.0,1.0,1.0,6.514387845993042,0.15344986548790565
transplant,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9230769230769231,0.875,0.125,0.95,1.0,1.0,4.754594802856445,3.222208756666917
transplant,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.114020824432373,0.38363383366511417
transplant,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6923076923076923,0.7777777777777778,0.2222222222222222,0.75,0.7777777777777778,0.8408119658119658,5.655138969421387,0.23014728839580828
transplant,XBART,2,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.9230769230769231,0.9444444444444444,0.05555555555555555,0.9,1.0,1.0,6.619709491729736,0.15343152559720552
transplant,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9230769230769231,0.9375,0.0625,0.9166666666666667,0.925,0.9071022727272727,6.5011560916900635,3.453529798067533
transplant,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.9230769230769231,0.9375,0.0625,0.9166666666666667,1.0,1.0,1.0876307487487793,0.3835788139930138
transplant,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7692307692307693,0.8125,0.1875,0.8125,0.8125,0.8701923076923077,5.697160005569458,0.23012894850510818
transplant,XBART,3,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.9230769230769231,0.9375,0.0625,0.9166666666666667,1.0,1.0,6.893678903579712,0.23018396817720854
