Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
triazines,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8947368421052632,0.8920454545454546,0.10795454545454546,0.8920454545454546,0.9318181818181819,0.9405987320760049,6.721250534057617,0.3674406754343133
triazines,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.7368421052631579,0.7386363636363636,0.26136363636363635,0.7333333333333334,0.8806818181818182,0.8958820850866307,1.3868234157562256,0.36742812708804484
triazines,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5789473684210527,0.5,0.5,0.5789473684210527,0.5,0.75,35.46084523200989,0.10496691653603
triazines,XBART,0,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7368421052631579,0.6875,0.3125,0.84375,0.9431818181818182,0.9480617945816809,206.6382040977478,0.10495436818976152
triazines,Adaboost,1,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.7894736842105263,0.7670454545454546,0.23295454545454547,0.8012820512820513,0.7329545454545454,0.7564337375061807,6.846908807754517,0.42014372976202713
triazines,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.631578947368421,0.5795454545454546,0.42045454545454547,0.6458333333333333,0.7386363636363636,0.7469286898577507,1.3497388362884521,0.3687331550999692
triazines,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5263157894736842,0.5397727272727273,0.4602272727272727,0.5397727272727273,0.5284090909090908,0.6111035442885289,38.09283399581909,0.15748174566971626
triazines,XBART,1,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7894736842105263,0.7840909090909092,0.2159090909090909,0.7840909090909092,0.7727272727272727,0.7883875550047842,210.83774995803833,0.10500456157483552
triazines,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7368421052631579,0.7045454545454546,0.29545454545454547,0.7571428571428571,0.8806818181818182,0.8889081562377017,6.9068992137908936,0.41599022714715256
triazines,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.8421052631578947,0.8125,0.1875,0.8928571428571428,0.9090909090909091,0.9161533857556585,1.4246835708618164,0.3160551974647923
triazines,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6842105263157895,0.6590909090909092,0.34090909090909094,0.6794871794871795,0.590909090909091,0.6214653493436388,36.34213852882385,0.18410933645148025
triazines,XBART,2,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7368421052631579,0.7045454545454546,0.29545454545454547,0.7571428571428571,0.8409090909090908,0.8489774114774116,209.85301661491394,0.1575068423622533
triazines,Adaboost,3,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8947368421052632,0.875,0.125,0.9230769230769231,0.9318181818181819,0.9383595571095571,6.7097156047821045,0.36742812708804484
triazines,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 50}",0.7894736842105263,0.7670454545454546,0.23295454545454547,0.8012820512820513,0.8863636363636365,0.8975186429731885,1.3796184062957764,0.3674532237805818
triazines,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5789473684210527,0.5,0.5,0.5789473684210527,0.7613636363636364,0.8139612064921662,39.55759787559509,0.10496691653603
triazines,XBART,3,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8421052631578947,0.8295454545454546,0.17045454545454547,0.8452380952380952,0.9431818181818181,0.9473428560076288,217.36989641189575,0.26274982251619033
triazines,Adaboost,4,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.8947368421052632,0.8920454545454546,0.10795454545454546,0.8920454545454546,0.9772727272727271,0.9769666097791099,6.63844895362854,0.36742812708804484
triazines,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 5}",0.7894736842105263,0.7840909090909092,0.2159090909090909,0.7840909090909092,0.8068181818181819,0.8165812363234656,1.4283747673034668,0.36862021998355265
triazines,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5789473684210527,0.5,0.5,0.5789473684210527,0.6647727272727273,0.7396153876223537,37.928983211517334,0.15749429401598478
triazines,XBART,4,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8421052631578947,0.8465909090909092,0.1534090909090909,0.8388888888888889,0.8409090909090909,0.8380081522106086,209.3577709197998,0.20999657480340256
triazines,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7368421052631579,0.7045454545454546,0.29545454545454547,0.7571428571428571,0.7784090909090909,0.7743698758905979,6.858164310455322,0.31406001040810033
triazines,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.7894736842105263,0.7670454545454546,0.23295454545454547,0.8012820512820513,0.8977272727272727,0.9056750146949011,1.4197337627410889,0.3674406754343133
triazines,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6842105263157895,0.6761363636363636,0.32386363636363635,0.6761363636363636,0.6931818181818182,0.7469956366898651,37.317201137542725,0.15744410063091077
triazines,XBART,5,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.7894736842105263,0.75,0.25,0.8666666666666667,0.8068181818181818,0.8191135051909617,211.7806098461151,0.1574691973234478
triazines,Adaboost,6,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7777777777777778,0.7402597402597402,0.2597402597402597,0.7846153846153847,0.8311688311688311,0.8507721445221446,6.615185022354126,0.38809246487087673
triazines,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.6111111111111112,0.551948051948052,0.44805194805194803,0.5714285714285714,0.7792207792207793,0.7837207300275483,1.343628168106079,0.3904104232788086
triazines,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6666666666666666,0.6493506493506493,0.35064935064935066,0.6493506493506493,0.6948051948051948,0.7387924845717053,37.40899157524109,0.554045041402181
triazines,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.7222222222222222,0.6428571428571428,0.35714285714285715,0.84375,0.8051948051948052,0.8001563416741988,213.67022347450256,0.1662572224934896
triazines,Adaboost,7,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.5,0.461038961038961,0.538961038961039,0.45833333333333337,0.6233766233766234,0.6527380792325406,7.07114577293396,2.3728211720784507
triazines,LightGBM,7,"{'n_estimators': 50, 'num_leaves': 100}",0.5,0.461038961038961,0.538961038961039,0.45833333333333337,0.6623376623376623,0.6902335923774044,1.4002330303192139,0.38785404629177517
triazines,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5555555555555556,0.5844155844155844,0.41558441558441556,0.5844155844155844,0.6233766233766234,0.7205627705627706,36.454025983810425,0.1662174860636393
triazines,XBART,7,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.5,0.461038961038961,0.538961038961039,0.45833333333333337,0.7142857142857143,0.6740636464375961,213.52851748466492,0.2216498057047526
triazines,Adaboost,8,"{'learning_rate': 1.254335218612733, 'n_estimators': 20}",0.7222222222222222,0.6948051948051948,0.3051948051948052,0.7083333333333333,0.7272727272727273,0.6738014608789056,6.670468807220459,0.44349829355875653
triazines,LightGBM,8,"{'n_estimators': 100, 'num_leaves': 50}",0.6111111111111112,0.6038961038961039,0.39610389610389607,0.6,0.6753246753246753,0.7017965349945869,1.3459582328796387,0.3324614630805121
triazines,Provably Robust Boosting,8,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4444444444444444,0.4675324675324675,0.5324675324675324,0.4675324675324675,0.48701298701298695,0.6060839487310076,35.84318137168884,0.11078516642252605
