Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
vote,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9772727272727273,0.9814814814814814,0.018518518518518517,0.9722222222222222,1.0,1.0,7.205816030502319,0.9741620583967728
vote,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.9545454545454546,0.962962962962963,0.037037037037037035,0.9473684210526316,0.9945533769063181,0.9941599101370305,1.5489699840545654,0.09068575772372159
vote,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.6363636363636364,0.5294117647058824,0.47058823529411764,0.813953488372093,0.6209150326797386,0.7279752135200941,34.658087730407715,0.06800348108465022
vote,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.9545454545454546,0.962962962962963,0.037037037037037035,0.9473684210526316,0.9978213507625273,0.997644331274025,66.38641309738159,0.04551085558804598
vote,Adaboost,1,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.9772727272727273,0.9814814814814814,0.018518518518518517,0.9722222222222222,1.0,0.9999999999999999,6.676476955413818,0.15866214578801935
vote,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 5}",0.9772727272727273,0.9814814814814814,0.018518518518518517,0.9722222222222222,1.0,1.0,1.5339832305908203,0.1250180331143466
vote,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.5909090909090909,0.48148148148148145,0.5185185185185185,0.3023255813953488,0.6198257080610022,0.5191098159680378,34.59803485870361,0.0680197368968617
vote,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.5454545454545454,0.4444444444444444,0.5555555555555556,0.2926829268292683,0.7494553376906319,0.650852044938373,69.00944209098816,0.04533204165371981
vote,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.9772727272727273,0.9705882352941176,0.029411764705882353,0.9821428571428572,0.9912854030501088,0.9914012950859356,7.194754600524902,0.9746876629916104
vote,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.9545454545454546,0.9411764705882353,0.058823529411764705,0.9655172413793103,0.9651416122004357,0.9698157489842165,1.5958001613616943,0.11334094134244052
vote,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.5909090909090909,0.48148148148148145,0.5185185185185185,0.3023255813953488,0.5642701525054465,0.49894756580803085,32.61154627799988,0.045321204445578835
