Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
wall-following,Adaboost,0,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.9120879120879121,0.9428571428571428,0.028325134699588903,0.8822357456397737,0.9609057661388057,0.9313951291057846,41.586397886276245,0.1117462640280252
wall-following,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 10}",0.9981684981684982,0.9988095238095238,0.0007668711656441718,0.998868778280543,1.0,1.0,23.503295421600342,0.007327222998762306
wall-following,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.6410256410256411,0.5468934178271527,0.14376016600714475,0.7147600609681146,0.8608659731846979,0.6922116488887343,8427.086111307144,0.03663829831413297
wall-following,XBART,0,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6556776556776557,0.7321806707348877,0.013958624649573216,0.15585774405344285,0.9798542943740456,0.9435190285687951,565.5467133522034,0.08609967354016426
wall-following,Adaboost,1,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.9633699633699634,0.972601444739999,0.013015652322241085,0.9567300282558439,0.999290485542726,0.9961775223984364,38.02758312225342,0.031142881065061242
wall-following,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,26.523976802825928,0.029310638651306377
wall-following,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6208791208791209,0.5358212069055442,0.1519301676494138,0.6397362243637262,0.8681378618467583,0.7081594633256574,8377.161702871323,0.0348060559003781
wall-following,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.673992673992674,0.7725655870234184,0.004618884433154199,0.3930633430172799,0.9864370767452555,0.9709598322942273,611.0919365882874,0.4048535238692175
wall-following,Adaboost,2,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.9560439560439561,0.9715367965367966,0.013314517545363289,0.9395347106453917,0.9919181189404389,0.9764392987882792,38.0055775642395,0.031142444400996953
wall-following,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 5}",0.9981684981684982,0.9924242424242424,0.000744047619047619,0.9988151658767772,0.9999964569160997,0.9999943444992531,22.98517870903015,0.009160338740645748
wall-following,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6483516483516484,0.5574303708339853,0.14270454516597758,0.7643188090081794,0.8844355015614428,0.761406069764559,8528.155863761902,0.03663786165006868
wall-following,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.5879120879120879,0.6932026808532833,0.012654931952507779,0.17597967021860292,0.9506802434722356,0.9003176990747028,575.0324585437775,0.03663829831413297
wall-following,Adaboost,3,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.9597069597069597,0.9724528893464699,0.012512089560112068,0.9492840252954449,0.9972077855981809,0.9882268055571803,40.443543434143066,0.060454393044496194
wall-following,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,24.94977593421936,0.009160775404710036
wall-following,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.63003663003663,0.5780955339685616,0.1488456344533055,0.7134395960420289,0.8565441449737248,0.7215145142195981,8662.27806687355,0.03626145722665193
wall-following,XBART,3,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.6666666666666666,0.7650551544766174,0.0036708977456649393,0.30211334914510246,0.9810165184229168,0.9581378507416372,648.3795185089111,0.4877284332946107
wall-following,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9652014652014652,0.9774675788607677,0.011148884122139437,0.9570523689253656,0.9972778172841211,0.9852145991658585,43.34895133972168,0.11966691349015567
wall-following,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 10}",0.9963369963369964,0.997737556561086,0.001483679525222552,0.9976303317535545,0.9999860084808105,0.9999791060545908,30.660438299179077,0.011802592993655922
wall-following,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6355311355311355,0.5404865038103875,0.14686663422504714,0.6947642957817377,0.8765051168430361,0.7367373911686339,9910.870589017868,0.037730831802982985
wall-following,XBART,4,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6538461538461539,0.7254561774778867,0.0166258184394324,0.218635071886639,0.9588001895208118,0.9077611404264191,557.0209314823151,0.0359339591784355
wall-following,Adaboost,5,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.9413919413919414,0.9599066120943103,0.018902299961752047,0.9152197406756872,0.9975119803018345,0.9887279846422741,38.12979435920715,0.03054377796885731
wall-following,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,22.925719261169434,0.010780799083220653
wall-following,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6446886446886447,0.5650865168004934,0.14252071354852888,0.6609947916705081,0.8742992016060378,0.7341922567361658,11628.667647838593,0.03413708655388801
wall-following,XBART,5,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6336996336996337,0.7566079772987901,0.010603845943817183,0.33476267409965293,0.9822746609855216,0.9609464225727209,560.7471449375153,0.09522333249940977
wall-following,Adaboost,6,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9504587155963303,0.9612943735186382,0.015480089951012875,0.9405307805170383,0.9906020178701411,0.9802295586880717,40.5984046459198,0.1133988756652272
wall-following,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 100}",0.9963302752293578,0.991056278280543,0.0015178735949880227,0.9976839441573202,0.9997039639067503,0.997288990470475,26.185548543930054,0.02340045543985629
wall-following,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.636697247706422,0.5127299066906312,0.14835811197424184,0.7961650751793494,0.8772192819754667,0.7628013391797797,8364.284852743149,0.03239867884084719
wall-following,XBART,6,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6458715596330276,0.7313458450922583,0.008101670274338252,0.22629078156461524,0.9584883334833325,0.9195075568887522,556.3733205795288,0.035999455583204915
wall-following,Adaboost,7,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9596330275229358,0.9654477046447096,0.01298661778699495,0.9506769550952172,0.9920472581283692,0.9831538621285977,40.45503306388855,0.11339931313050997
wall-following,LightGBM,7,"{'n_estimators': 100, 'num_leaves': 50}",0.9926605504587156,0.9820533020900668,0.0028294353367153513,0.9935452233645005,0.9993904510446491,0.9958730828284741,24.00382709503174,0.012599875073914133
wall-following,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6110091743119266,0.5373952535986252,0.15737060019225696,0.73615497908374,0.8613398900266034,0.7215753438764654,8315.206919908524,0.032399116306129946
wall-following,XBART,7,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6440366972477064,0.72341483615022,0.016923621234679335,0.2638387822931416,0.9480072326800716,0.9004790383392297,553.9020941257477,0.035999455583204915
wall-following,Adaboost,8,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9559633027522936,0.9484808890296694,0.01565857531878219,0.9465857105049245,0.995135576543758,0.9811997417957313,40.38047814369202,0.11339975059579271
wall-following,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 5}",0.9908256880733946,0.9839457290676803,0.0038461538461538464,0.9944444444444445,0.9999965034965035,0.9999948463969186,22.65300440788269,0.007201116019432697
wall-following,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6440366972477064,0.5604503220356879,0.14319516203198576,0.7254358761922872,0.8754281453939649,0.7446992421753962,8516.599608182907,0.0359985806526394
wall-following,XBART,8,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6990825688073394,0.7162073698659064,0.0444914983150372,0.13710016575893913,0.9346164969167885,0.8301077063475523,593.953527212143,0.07919390267188396
wall-following,Adaboost,9,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.944954128440367,0.9568524970963995,0.018669042173741483,0.9338672969187676,0.9964306006269732,0.9877636948229861,39.286564111709595,0.033340979059901805
wall-following,LightGBM,9,"{'n_estimators': 200, 'num_leaves': 100}",0.9963302752293578,0.9957607433217189,0.0012575120192307692,0.9915158371040724,0.9999816499382148,0.9997681520939162,29.49039626121521,0.02340045543985629
wall-following,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6055045871559633,0.5193749340090803,0.15839640607525796,0.6627848089760183,0.8400108846036594,0.6942147789366251,9186.854304790497,0.03384100187809096
wall-following,XBART,9,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6,0.6742740998838559,0.02065893327844909,0.24073433375878264,0.9544053477977089,0.9128412904243626,569.9588737487793,0.039185077772227996
