Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
waveform-noise,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.862,0.8619379076283616,0.06903798031389087,0.8624332443835293,0.9502324986482419,0.8866507016736412,46.65626859664917,0.15619325637817383
waveform-noise,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 5}",0.86,0.860334146339707,0.06992754806930307,0.861473127262601,0.9699383949609711,0.9420617067790148,26.183515787124634,0.03124189376831055
waveform-noise,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.762,0.7623362015391671,0.11901958809530688,0.7702605386898721,0.9149941048841468,0.8379376569726044,6846.828648328781,0.09372711181640625
waveform-noise,XBART,0,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.76,0.7608002027835207,0.11858182899205871,0.6008174430305578,0.9039466872456062,0.8318722712580171,472.9213891029358,0.031244277954101562
waveform-noise,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.84,0.8403503200537492,0.08004933452749999,0.8403784493472392,0.9391338603159994,0.8510633714718315,46.37987971305847,0.12497091293334962
waveform-noise,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 10}",0.846,0.8466134936014454,0.07700413755165414,0.8460582845340795,0.9685199862947697,0.939428586047951,25.69484233856201,0.0
waveform-noise,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.7595117785108517,0.12028299445659342,0.7706000963043217,0.9031214603900878,0.8127901651172574,6770.514177799225,0.09372806549072266
waveform-noise,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.756,0.756952788741482,0.1205480458121499,0.6092832145981752,0.8940759454501324,0.8198908864616309,483.41050243377686,0.031243801116943356
waveform-noise,Adaboost,2,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.846,0.8458493108168734,0.07713044848662237,0.8490045197592367,0.9462603132245304,0.8854429621998195,44.15654420852661,0.062474727630615234
waveform-noise,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.852,0.8523620031497696,0.07398596863179445,0.8520294637687558,0.9697803411756496,0.9437073704879734,26.659504652023315,0.0
waveform-noise,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.768,0.7686002392211845,0.11597449912368075,0.7730245146352529,0.9192366794032903,0.8472725672910606,6972.987849473953,0.06248474121093749
waveform-noise,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.732,0.7323895546323721,0.1335825440699968,0.7819494316812521,0.8923501777969095,0.8278133132474292,480.74954056739807,0.0624852180480957
waveform-noise,Adaboost,3,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.836,0.836057804825182,0.08207534968391215,0.8366681987442157,0.9450882896994299,0.8790004012834566,46.09579253196716,0.15621328353881836
waveform-noise,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 10}",0.834,0.8341923548596393,0.08302503978830453,0.835191336074459,0.9638220923415309,0.9315129269057388,25.628784894943237,0.03124189376831055
waveform-noise,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.738,0.7377834090531031,0.13119133064528832,0.7554648508438083,0.9213634031323178,0.8529527392161528,6957.984376907349,0.06248617172241211
waveform-noise,XBART,3,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.532,0.5341102620991407,0.11978424897060728,0.07354738170303202,0.8304322345797667,0.7267421091356443,529.1948494911194,0.21870088577270508
waveform-noise,Adaboost,4,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.834,0.8341219279124749,0.08302216867613017,0.8341035492876276,0.93837641176376,0.8658640291314166,45.09307384490967,0.06255865097045898
waveform-noise,LightGBM,4,"{'n_estimators': 100, 'num_leaves': 10}",0.828,0.8284673209603701,0.08594690494557622,0.8295923985784333,0.9638491071749171,0.9314451654857052,34.74180197715759,0.0
waveform-noise,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.732,0.7316506477766903,0.1341822555007224,0.7547187358196079,0.9119236281560922,0.8351093051057624,6943.657894611359,0.09372711181640625
waveform-noise,XBART,4,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.704,0.7050491368378301,0.14755492397087955,0.7565509819747108,0.854761344905051,0.7672250860536431,487.63971424102783,0.031241416931152344
waveform-noise,Adaboost,5,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.788,0.7879976232917408,0.10604552992612694,0.788360557401255,0.9371569514282422,0.8727198776458548,43.101410150527954,0.031242847442626953
waveform-noise,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.818,0.8182412358882947,0.09095431931252827,0.8181719124560257,0.9597334184691516,0.9248499132565581,25.76722264289856,0.0
waveform-noise,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 250, 'min_samples_split': 500}",0.724,0.7242424242424242,0.13788632594602743,0.731333889826459,0.894398861308431,0.8011103267503267,6889.887023925781,0.06247997283935547
waveform-noise,XBART,5,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.676,0.6766488413547238,0.1584501733755465,0.5528567313232188,0.8604233733294313,0.7699598927284036,492.4528136253357,0.0624852180480957
waveform-noise,Adaboost,6,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.832,0.8316102198455141,0.08429066787275742,0.8387778763574941,0.9457215704011138,0.8817640491968145,47.04493975639343,0.12497472763061523
waveform-noise,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 100}",0.868,0.8681521093285799,0.06603346901854364,0.8681001397407235,0.972978600757354,0.9487213555441635,43.12629532814026,0.06248760223388671
waveform-noise,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.752,0.7508021390374332,0.12464947987336046,0.7813709508881924,0.9197809526343327,0.8533000628465434,7017.8219475746155,0.06248474121093749
waveform-noise,XBART,6,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.668,0.6697563874034462,0.12065430423639378,0.5879493992667637,0.8709479341261606,0.7840739228967286,509.77170586586,0.06248331069946289
waveform-noise,Adaboost,7,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.854,0.8538944733569386,0.07311449158318616,0.8587868480725623,0.94913688774388,0.8871034039425701,46.34383797645569,0.15621232986450195
waveform-noise,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.88,0.8801432014592349,0.06005583638152742,0.8808145665235482,0.9724393512951709,0.9475501018942786,25.816073179244995,0.0
waveform-noise,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.758,0.7586156712199346,0.12089047319078756,0.770443954000557,0.9165447930594892,0.8437513831151918,7056.364022016525,0.06248474121093749
waveform-noise,XBART,7,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.77,0.7702526800765911,0.1138996300585464,0.5980094385581596,0.8922939120299564,0.8178220798066264,496.45525431632996,0.06248712539672851
waveform-noise,Adaboost,8,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.83,0.8299754513841632,0.08508447325036989,0.831061165824288,0.9463441124437074,0.8759208708701273,46.41333794593811,0.15619325637817383
waveform-noise,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 5}",0.856,0.8563911014328068,0.07194175476435864,0.8569068013573208,0.9671199456038652,0.9369453059732774,25.978261947631836,0.0
waveform-noise,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.744,0.7446063976184458,0.12797291290170706,0.7560617039434488,0.9177807170007298,0.8463353076132606,7118.818331480026,0.09372568130493164
waveform-noise,XBART,8,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.742,0.7423054239550995,0.12885479435681554,0.7721340388007055,0.8855576547709516,0.8095528115931416,509.8555347919464,0.06248283386230469
waveform-noise,Adaboost,9,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.832,0.8317418139475601,0.08408040302134605,0.8329813556459866,0.9486680183300807,0.891703360129476,46.54224371910095,0.1249675750732422
waveform-noise,LightGBM,9,"{'n_estimators': 100, 'num_leaves': 5}",0.854,0.8543213557115318,0.07294571698916276,0.8547029136966581,0.9714975294742879,0.9462056294710258,25.51757287979126,0.031242370605468747
waveform-noise,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.794,0.7947263322610866,0.10279955037843329,0.805595776110453,0.914601875354442,0.8394675497472943,6997.9863884449005,0.06248426437377929
waveform-noise,XBART,9,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.754,0.7541015055380208,0.1227791879828745,0.8024780384594784,0.8893158074227565,0.8177838890274932,495.6026611328125,0.062485694885253906
