Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
white-clover,Adaboost,0,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.8571428571428571,0.8333333333333333,0.16666666666666666,0.9,0.8333333333333334,0.8604166666666667,5.451884031295776,0.0
white-clover,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.8571428571428571,0.8333333333333333,0.16666666666666666,0.9,0.8333333333333334,0.8604166666666667,0.7654054164886475,0.0
white-clover,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.75,3.024029016494751,0.0
white-clover,XBART,0,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7142857142857143,0.6666666666666666,0.3333333333333333,0.8333333333333333,0.9166666666666667,0.9232638888888889,34.741612672805786,0.0
white-clover,Adaboost,1,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.7142857142857143,0.7083333333333333,0.29166666666666663,0.7083333333333333,0.8333333333333334,0.8604166666666667,5.842369794845581,0.0
white-clover,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.5714285714285714,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.8333333333333334,0.8604166666666667,0.6248202323913574,0.0
white-clover,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.75,3.1867523193359375,0.0
white-clover,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.8571428571428571,0.8333333333333333,0.16666666666666666,0.9,0.8333333333333334,0.8604166666666667,38.67081928253174,2.2343567439488004
white-clover,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7142857142857143,0.7083333333333333,0.29166666666666663,0.7083333333333333,0.8333333333333334,0.836111111111111,5.847885370254517,0.0
white-clover,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.5714285714285714,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.6666666666666666,0.636061507936508,0.6560969352722168,2.231734139578683
white-clover,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.75,3.358586311340332,0.0
white-clover,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7142857142857143,0.7083333333333333,0.29166666666666663,0.7083333333333333,0.6666666666666666,0.636061507936508,36.19087052345276,0.0
white-clover,Adaboost,3,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7777777777777779,0.8069444444444445,5.9829723834991455,2.60317325592041
white-clover,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.5,0.5,0.5,0.5,0.6666666666666667,0.711111111111111,0.5154666900634766,0.0
white-clover,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.22243332862854,0.0
white-clover,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.5,0.5,0.5,0.5,0.5555555555555556,0.6555555555555556,36.726672887802124,0.0
white-clover,Adaboost,4,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.5555555555555556,0.5694444444444444,6.248558044433594,5.206068356831868
white-clover,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,0.888888888888889,0.9027777777777777,0.5935745239257812,0.0
white-clover,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.2492380142211914,0.0
white-clover,XBART,4,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,1.0,1.0,40.396777629852295,0.0
white-clover,Adaboost,5,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.8333333333333334,0.75,0.25,0.9,1.0,1.0,6.201705455780029,5.206902821858724
white-clover,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,1.0,0.6248185634613037,0.0
white-clover,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.286921739578247,0.0
white-clover,XBART,5,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,1.0,37.468520164489746,0.0
