Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
wine,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.388888597488403,1.7355945375230577
wine,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.7495441436767578,0.0
wine,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8333333333333334,0.8301587301587302,0.08624708624708625,0.85,0.9724275724275725,0.9542838246409674,46.25537157058716,0.0
wine,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,49.746803998947144,0.8678701188829211
wine,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.404515504837036,2.6035706202189126
wine,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.9444444444444444,0.9523809523809524,0.025641025641025644,0.9444444444444445,1.0,1.0,1.6870696544647217,0.8678701188829211
wine,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8333333333333334,0.8301587301587302,0.08624708624708625,0.85,0.968098568098568,0.9437396069538927,45.997220516204834,0.8679098553127713
wine,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9444444444444444,0.9523809523809524,0.025641025641025644,0.9444444444444445,1.0,1.0,47.954139709472656,0.0
wine,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.383787155151367,2.603504392835829
wine,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.7339341640472412,0.8678833643595377
wine,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7777777777777778,0.7634920634920634,0.11655011655011654,0.8055555555555555,0.9767565767565768,0.9571428571428572,48.83011341094971,0.8677774005466037
wine,XBART,2,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,48.968560218811035,0.0
wine,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.404567718505859,2.6056236690945096
wine,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.733931303024292,0.8678966098361545
wine,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8333333333333334,0.8380952380952381,0.08585858585858586,0.8611111111111112,0.9867123617123618,0.9776549508692366,50.742218017578125,0.0
wine,XBART,3,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.8888888888888888,0.8857142857142858,0.05808080808080809,0.9047619047619048,0.9913419913419913,0.9887566137566136,48.47816467285156,0.867976082695855
wine,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.326398849487305,2.602630191379123
wine,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.702686071395874,0.8679098553127713
wine,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8333333333333334,0.8380952380952381,0.08372183372183373,0.8301587301587302,0.9862137862137862,0.974030612244898,45.84568905830383,0.8678171369764539
wine,XBART,4,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,50.4292197227478,0.0
wine,Adaboost,5,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.9444444444444444,0.9333333333333332,0.030303030303030304,0.9583333333333334,1.0,1.0,7.270484209060669,1.7359124289618597
wine,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.923166275024414,0.0
wine,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8333333333333334,0.8190476190476191,0.08838383838383838,0.8690476190476191,0.9693963443963444,0.9604651961794818,45.51657009124756,0.8679628372192383
wine,XBART,5,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9444444444444444,0.9523809523809524,0.025641025641025644,0.9444444444444445,1.0,1.0,48.14290189743042,0.0
wine,Adaboost,6,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",1.0,1.0,0.0,1.0,1.0,1.0,7.0015952587127686,0.8678568734063042
wine,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.7339692115783691,0.0
wine,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,50.62372279167175,0.0
wine,XBART,6,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.9444444444444444,0.9333333333333332,0.030303030303030304,0.9583333333333334,1.0,1.0,49.285841941833496,0.0
wine,Adaboost,7,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.8333333333333334,0.8412698412698413,0.08838383838383838,0.85,0.9558080808080808,0.9352186834329691,7.547091960906982,2.603557374742296
wine,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.7777777777777778,0.7936507936507936,0.11402486402486402,0.7825396825396825,0.9601370851370851,0.9377800109942966,1.7651691436767578,0.0
wine,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8333333333333334,0.8380952380952381,0.08585858585858586,0.8611111111111112,0.9554084804084804,0.930815811172954,51.75051522254944,0.8678833643595377
wine,XBART,7,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7777777777777778,0.7936507936507936,0.11402486402486402,0.7825396825396825,0.8656204906204906,0.8298648626117114,49.04900050163269,0.0
wine,Adaboost,8,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.9411764705882353,0.9444444444444445,0.03333333333333333,0.9583333333333334,1.0,1.0,6.967153072357178,0.0
wine,LightGBM,8,"{'n_estimators': 100, 'num_leaves': 50}",1.0,1.0,0.0,1.0,1.0,1.0,1.7183120250701904,0.0
wine,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8235294117647058,0.7777777777777778,0.09999999999999999,0.9,0.9362637362637362,0.9059523809523808,45.83663749694824,0.9187670315013212
wine,XBART,8,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,48.44597625732422,0.0
wine,Adaboost,9,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,7.40386700630188,2.7567218331729664
wine,LightGBM,9,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.7339670658111572,0.0
wine,Provably Robust Boosting,9,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9411764705882353,0.9583333333333334,0.025641025641025644,0.9333333333333332,1.0,1.0,52.034404039382935,0.9188932531020221
wine,XBART,9,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,48.49439001083374,0.0
