Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
yeast,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.5100671140939598,0.43649028199078754,0.07490493748095076,0.63015873015873,0.7824096487212613,0.4949580574031213,9.795974969863892,0.10489617418122772
yeast,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.6241610738255033,0.4704805639815752,0.05578691915307267,0.5700757575757576,0.8418426039297565,0.52707012707004,13.559276103973389,0.10483856969231728
yeast,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 250, 'min_samples_split': 200}",0.42953020134228187,0.2605160468861177,0.08895277339515621,0.6406236325766195,0.7127276016017137,0.3108925195807176,795.0872890949249,0.3145269099497955
yeast,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.40939597315436244,0.32569121447028426,0.08762566449030482,0.4189203354297694,0.7703248065483911,0.3848740050103875,58.753844261169434,0.10489777430591966
yeast,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.5973154362416108,0.5032589034939894,0.05995084225209492,0.6493188324035186,0.8194770897004056,0.46576361850183606,9.750595092773438,0.10484337006639313
yeast,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 10}",0.6174496644295302,0.542972418829345,0.05607351881273792,0.6358424464961996,0.8733794481445829,0.6033647712015511,13.403109073638916,0.10483696956762532
yeast,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 250, 'min_samples_split': 200}",0.436241610738255,0.22763584615960758,0.08717379015023036,0.628102453102453,0.7097720778230975,0.39767467289624503,783.8886108398438,0.3142884913706939
yeast,XBART,1,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.3087248322147651,0.1655813953488372,0.10099732670372782,0.13174974039460022,0.6601530941434155,0.23889867348684687,59.984220027923584,0.10486577181208054
yeast,Adaboost,2,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.3691275167785235,0.34104173688349626,0.09504640182348996,0.40527389277389275,0.7606911436874491,0.3898895871341711,9.8447585105896,0.10483696956762532
yeast,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.5570469798657718,0.46142483990562855,0.0664017322276098,0.6274195686646306,0.8128165771739828,0.5144646968278463,13.6031813621521,0.10484016981700923
