Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
zoo,Adaboost,0,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,6.490051746368408,1.4187856154008345
zoo,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",1.0,1.0,0.0,1.0,1.0,1.0,1.7339355945587158,1.419695940884677
zoo,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7272727272727273,0.6,0.07777777777777778,0.625,0.9444444444444444,0.8516666666666666,40.61678743362427,2.840280532836914
zoo,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,32.26947283744812,0.0
zoo,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9,0.8,0.02222222222222222,0.875,1.0,1.0,6.81044602394104,4.685831069946289
zoo,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.9,0.9,0.02222222222222222,0.9,0.975,0.9416666666666667,1.7651760578155518,0.0
zoo,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.8,0.7,0.04722222222222222,0.7916666666666666,0.975,0.9416666666666667,40.00540637969971,3.124117851257324
zoo,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.9,0.8,0.025,0.9166666666666666,0.9777777777777779,0.85,32.756454944610596,0.0
zoo,Adaboost,2,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,6.420409202575684,0.0
zoo,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.780794620513916,0.0
zoo,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8,0.6,0.05,0.7777777777777777,0.9555555555555555,0.8333333333333333,40.801469564437866,1.5620708465576172
