Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
abalon,Adaboost,0,0.7962662559632573
abalon,LightGBM,0,0.8347159218988155
abalon,Provably Robust Boosting,0,0.7627047407139761
abalon,XBART,0,0.8183785417318528
abalon,Adaboost,1,0.7816563813451922
abalon,LightGBM,1,0.8355477624861339
abalon,Provably Robust Boosting,1,0.7642496387799069
abalon,XBART,1,0.7786702020534548
abalon,Adaboost,2,0.8174621971910557
abalon,LightGBM,2,0.8697442914683403
abalon,Provably Robust Boosting,2,0.7847580831933306
abalon,XBART,2,0.8195424848286798
abalon,Adaboost,3,0.7910702987766808
abalon,LightGBM,3,0.8462029272524711
abalon,Provably Robust Boosting,3,0.7538376155639904
abalon,XBART,3,0.7718267554359084
abalon,Adaboost,4,0.7773885700404709
abalon,LightGBM,4,0.843543389810787
abalon,Provably Robust Boosting,4,0.7453271818593364
abalon,XBART,4,0.8006491903086147
abalon,Adaboost,5,0.7564135943509597
abalon,LightGBM,5,0.8125172620513782
abalon,Provably Robust Boosting,5,0.7484474255484383
abalon,XBART,5,0.7366158709522742
abalon,Adaboost,6,0.7833905928615059
abalon,LightGBM,6,0.839764948954009
abalon,Provably Robust Boosting,6,0.7488477844093104
abalon,XBART,6,0.8023718611328331
abalon,Adaboost,7,0.7818412157403426
abalon,LightGBM,7,0.8162516531991475
abalon,Provably Robust Boosting,7,0.7417964305588663
abalon,XBART,7,0.7681201653246705
abalon,Adaboost,8,0.7827133230416822
abalon,LightGBM,8,0.8249843206023115
abalon,Provably Robust Boosting,8,0.7453631166859659
abalon,XBART,8,0.7509779482131878
abalon,Adaboost,9,0.7858911624284817
abalon,LightGBM,9,0.8360084025914883
abalon,Provably Robust Boosting,9,0.7509127788002733
abalon,XBART,9,0.7890338070665741
acute-inflammation,Adaboost,0,1.0
acute-inflammation,LightGBM,0,1.0
acute-inflammation,Provably Robust Boosting,0,1.0
acute-inflammation,XBART,0,1.0
acute-inflammation,Adaboost,1,1.0
acute-inflammation,LightGBM,1,1.0
acute-inflammation,Provably Robust Boosting,1,1.0
acute-inflammation,XBART,1,1.0
acute-inflammation,Adaboost,2,1.0
acute-inflammation,LightGBM,2,1.0
acute-inflammation,Provably Robust Boosting,2,1.0
acute-inflammation,XBART,2,1.0
acute-inflammation,Adaboost,3,1.0
acute-inflammation,LightGBM,3,1.0
acute-inflammation,Provably Robust Boosting,3,1.0
acute-inflammation,XBART,3,1.0
acute-inflammation,Adaboost,4,1.0
acute-inflammation,LightGBM,4,1.0
acute-inflammation,Provably Robust Boosting,4,1.0
acute-inflammation,XBART,4,1.0
acute-inflammation,Adaboost,5,1.0
acute-inflammation,LightGBM,5,1.0
acute-inflammation,Provably Robust Boosting,5,1.0
acute-inflammation,XBART,5,1.0
acute-inflammation,Adaboost,6,1.0
acute-inflammation,LightGBM,6,1.0
acute-inflammation,Provably Robust Boosting,6,1.0
acute-inflammation,XBART,6,1.0
acute-inflammation,Adaboost,7,1.0
acute-inflammation,LightGBM,7,1.0
acute-inflammation,Provably Robust Boosting,7,1.0
acute-inflammation,XBART,7,1.0
acute-inflammation,Adaboost,8,1.0
acute-inflammation,LightGBM,8,1.0
acute-inflammation,Provably Robust Boosting,8,1.0
acute-inflammation,XBART,8,1.0
acute-inflammation,Adaboost,9,1.0
acute-inflammation,LightGBM,9,1.0
acute-inflammation,Provably Robust Boosting,9,1.0
acute-inflammation,XBART,9,1.0
acute-nephritis,Adaboost,0,1.0
acute-nephritis,LightGBM,0,1.0
acute-nephritis,Provably Robust Boosting,0,1.0
acute-nephritis,XBART,0,0.5
acute-nephritis,Adaboost,1,1.0
acute-nephritis,LightGBM,1,1.0
acute-nephritis,Provably Robust Boosting,1,1.0
acute-nephritis,XBART,1,1.0
acute-nephritis,Adaboost,2,1.0
acute-nephritis,LightGBM,2,1.0
acute-nephritis,Provably Robust Boosting,2,1.0
acute-nephritis,XBART,2,1.0
acute-nephritis,Adaboost,3,1.0
acute-nephritis,LightGBM,3,1.0
acute-nephritis,Provably Robust Boosting,3,1.0
acute-nephritis,XBART,3,0.5
acute-nephritis,Adaboost,4,1.0
acute-nephritis,LightGBM,4,1.0
acute-nephritis,Provably Robust Boosting,4,1.0
acute-nephritis,XBART,4,1.0
acute-nephritis,Adaboost,5,1.0
acute-nephritis,LightGBM,5,1.0
acute-nephritis,Provably Robust Boosting,5,1.0
acute-nephritis,XBART,5,1.0
acute-nephritis,Adaboost,6,1.0
acute-nephritis,LightGBM,6,1.0
acute-nephritis,Provably Robust Boosting,6,1.0
acute-nephritis,XBART,6,1.0
acute-nephritis,Adaboost,7,1.0
acute-nephritis,LightGBM,7,1.0
acute-nephritis,Provably Robust Boosting,7,1.0
acute-nephritis,XBART,7,1.0
