Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
abalon,Adaboost,0,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.6602870813397129,0.6560809859415876,0.1693997939485304,0.6528834402232547,0.7962662559632573,0.6561868575253138,13.220061779022215,0.037411183261415036
abalon,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 10}",0.65311004784689,0.6478260225142103,0.17343106151770407,0.6430408583186361,0.8347159218988155,0.7045532140430231,7.469451665878296,0.03738665694825387
abalon,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.6172248803827751,0.6134318237399675,0.1906837646909849,0.6240833383713197,0.7627047407139761,0.6331546342029211,2020.259337902069,0.07476932124087685
abalon,XBART,0,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.6363636363636364,0.6365733638661005,0.17964646665007675,0.6822634155967491,0.8183785417318528,0.7011667432686431,94.04049587249756,0.037386086568878034
abalon,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6196172248803827,0.6171272519768484,0.18936218214196554,0.6194115674438789,0.7816563813451922,0.6238924963810445,14.157642126083374,0.11215255591287568
abalon,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 10}",0.6435406698564593,0.6393061206340738,0.17768172461313256,0.6413364413364414,0.8355477624861339,0.7190736316722655,88.80557823181152,0.0
abalon,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5598086124401914,0.5569662138627656,0.21917552964484371,0.5717646283950922,0.7642496387799069,0.6206934472616695,2057.9236316680913,0.11215084477474817
abalon,XBART,1,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.6076555023923444,0.6111244506695718,0.1932113213701661,0.6687047469460573,0.7786702020534548,0.643862676357227,91.322110414505,0.07477388427588358
abalon,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.6889952153110048,0.6868749861046265,0.15482091113860064,0.6851649205893608,0.8174621971910557,0.6672223558012992,13.954611778259276,0.149512405030465
abalon,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.7057416267942583,0.7035157147409533,0.14658145705077116,0.7025666782229413,0.8697442914683403,0.7666487044122324,7.26636528968811,0.11215483743037903
abalon,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.5813397129186603,0.5763011627648458,0.20902422887982453,0.5758090813210793,0.7847580831933306,0.6504598683278052,2021.112496614456,0.11215027439537233
abalon,XBART,2,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.6794258373205742,0.6830406041337811,0.1577768400873094,0.7303309022442487,0.8195424848286798,0.6941046846707671,92.680490732193,0.037366693670099434
abalon,Adaboost,3,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6578947368421053,0.6539777822242973,0.1703987949475314,0.6512685039744871,0.7910702987766808,0.6429859380543683,13.75127649307251,0.11215084477474817
abalon,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",0.6818181818181818,0.6764175133580856,0.15898341530110482,0.6700621640749028,0.8462029272524711,0.7311082059014641,7.78194260597229,0.0
abalon,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5622009569377989,0.5594570058619949,0.2174928961932572,0.5792441673897514,0.7538376155639904,0.6064350297593971,2002.2978870868685,0.11215141515412398
